name,population,population_rank,econsumption,econsumption_rank,fossil,fossil_rank,nuclear,nuclear_rank,hydroelectric,hydro_rank,other,other_rank,emissions,emissions_rank,gdp,gdp_rank,gdppc,gdppc_rank,lat,lon
Seychelles,94633.0,198,325500000.0,182,91.0,56,0.0,181,0.0,199,9.0,83,1150000.0,165,2750000000.0,190,29300.0,70,-4.35,55.4
Isle of Man,89407.0,199,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6792000000.0,169,84600.0,8,54.15,-4.3
Andorra,85708.0,200,221600000.0,190,61.0,126,0.0,36,23.0,82,15.0,56,0.0,0,3327000000.0,186,49900.0,32,42.3,1.3
Marshall Islands,75684.0,201,604500000.0,167,81.0,81,0.0,140,19.0,90,0.0,201,293700.0,192,196000000.0,221,3600.0,186,9.0,168.0
Dominica,74027.0,202,103600000.0,201,72.0,102,0.0,79,25.0,76,3.0,124,199600.0,200,783000000.0,206,11000.0,136,15.25,-61.2
Bermuda,71176.0,203,604500000.0,166,100.0,3,0.0,50,0.0,158,0.0,176,793700.0,174,6127000000.0,172,99400.0,6,32.2,-64.45
Guernsey,66697.0,204,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3465000000.0,184,52500.0,24,49.28,-2.35
Cayman Islands,59613.0,205,612000000.0,165,100.0,6,0.0,63,0.0,163,0.0,180,643800.0,178,2507000000.0,192,43800.0,41,19.3,-80.3
Greenland,57691.0,206,468000000.0,170,51.0,149,0.0,99,49.0,42,0.0,189,613800.0,179,2413000000.0,193,41800.0,44,72.0,-40.0
Turks and Caicos Islands,53701.0,207,218600000.0,191,100.0,21,0.0,201,0.0,208,0.0,211,221800.0,198,632000000.0,210,29100.0,72,21.45,-71.35
Saint Kitts and Nevis,53094.0,208,193400000.0,193,94.0,48,0.0,172,0.0,195,6.0,102,248100.0,195,1550000000.0,199,28200.0,73,17.2,-62.45
Northern Mariana Islands,51994.0,209,48300.0,217,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1242000000.0,203,24500.0,84,15.12,145.45
Faroe Islands,51018.0,210,285500000.0,185,54.0,142,0.0,90,31.0,66,16.0,52,739300.0,176,2001000000.0,197,40000.0,45,62.0,-7.0
American Samoa,50826.0,211,157200000.0,197,98.0,27,0.0,35,0.0,152,2.0,131,361100.0,189,658000000.0,209,11200.0,134,-14.2,-170.0
Sint Maarten,42677.0,212,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,365800000.0,214,66800.0,14,18.4,-63.4
Liechtenstein,38547.0,213,393600000.0,174,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4978000000.0,179,139100.0,1,47.16,9.32
British Virgin Islands,35802.0,214,117500000.0,200,97.0,33,0.0,55,0.0,160,3.0,122,183300.0,202,500000000.0,213,34200.0,59,18.3,-64.3
San Marino,33779.0,215,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2064000000.0,195,59000.0,20,43.46,12.25
Saint Martin,32284.0,216,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,561500000.0,212,19300.0,92,18.05,-63.57
Monaco,30727.0,217,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7672000000.0,165,115700.0,3,43.44,7.24
Gibraltar,29461.0,218,230800000.0,189,100.0,8,0.0,97,0.0,173,0.0,188,13340000.0,98,2044000000.0,196,61700.0,17,36.08,-5.21
Palau,21516.0,219,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,264000000.0,217,14700.0,115,7.3,134.3
Anguilla,17422.0,220,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,175400000.0,222,12200.0,130,18.15,-63.1
Wallis and Futuna,15763.0,221,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,60000000.0,225,3800.0,181,-13.18,-176.12
Tuvalu,11147.0,222,0.0,0,96.0,43,0.0,202,0.0,209,0.0,0,0.0,0,42000000.0,226,3800.0,180,-8.0,178.0
Nauru,9692.0,223,22320000.0,212,86.0,68,0.0,151,0.0,188,14.0,63,76540.0,208,160000000.0,224,12300.0,129,-0.32,166.55
Cook Islands,9038.0,224,31620000.0,209,79.0,85,0.0,71,0.0,165,21.0,36,88810.0,207,299900000.0,216,16700.0,106,-21.14,-159.46
"Saint Helena, Ascension, and Tristan da Cunha",7841.0,225,6510000.0,214,100.0,16,0.0,171,0.0,194,0.0,205,10650.0,212,31100000.0,227,7800.0,153,-15.57,-5.42
Saint Barthelemy,7160.0,226,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.9,-62.85
Saint Pierre and Miquelon,5471.0,227,42780000.0,206,96.0,42,0.0,174,0.0,197,4.0,118,100200.0,206,261300000.0,218,46200.0,36,46.5,-56.2
Montserrat,5315.0,228,22320000.0,211,100.0,13,0.0,147,0.0,187,0.0,202,57180.0,210,167400000.0,223,34000.0,60,16.45,-62.12
Falkland Islands (Islas Malvinas),3198.0,229,17670000.0,213,74.0,96,0.0,89,0.0,171,26.0,26,44070.0,211,206400000.0,220,70800.0,12,-51.45,-59.0
Svalbard and Jan Mayen,2583.0,230,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,78.0,20.0
Christmas Island,2205.0,231,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-10.3,105.4
Norfolk Island,1748.0,232,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-29.02,167.57
Niue,1618.0,233,2790000.0,215,87.0,65,0.0,158,0.0,191,13.0,68,7252.0,213,10010000.0,228,5800.0,168,-19.02,-169.52
Paracel Islands,1440.0,234,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.3,112.0
Tokelau,1285.0,235,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1500000.0,229,1000.0,225,-9.0,-172.0
Holy See (Vatican City),1000.0,236,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,41.54,12.27
Cocos (Keeling) Islands,596.0,237,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-12.3,96.5
Pitcairn Islands,54.0,238,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-25.04,-130.06
